student_id,final_score,grade,pass_fail,previous_score,math_prev_score,science_prev_score,language_prev_score,daily_study_hours,attendance_percentage,homework_completion_rate,sleep_hours,screen_time_hours,physical_activity_minutes,motivation_score,exam_anxiety_score,parent_education_level,study_environment
S0001,60.1372408,D,1,60.59970654,61.48821154,53.56811922,64.97229191,1.427202816,75.7384054,68.53437138,6.809352144,3.31309636,65.0594248,4.150024677,6.10410301,Master,Noisy
S0002,99.0219765,A,1,92.28928685,85.61256506,91.87375899,89.04046072,4.813611518,89.6027363,91.99019719,5.567793478,4.925359308,76.01661716,8.714692902,1.982358076,High School,Quiet
S0003,70.52295492,C,1,80.2596668,82.16065605,72.73606493,74.24366252,1.24090778,81.49542557,69.66966629,6.70287496,5.107888459,113.6168724,5.928219734,4.463661528,High School,Moderate
S0004,63.44853727,D,1,72.92621663,75.97914536,76.72649645,67.71599457,2.19060111,71.47204702,71.97675743,7.854438568,3.772445572,108.6866904,4.224927741,4.740474299,High School,Noisy
S0005,66.48301877,C,1,48.58102522,51.37997746,48.99322399,46.14501062,2.192264805,64.27658206,68.94059101,7.662428899,1.898989067,42.10729431,9.506815241,1.143852388,Master,Quiet
S0006,49.08806059,F,0,48.57969862,53.98360225,41.29194112,46.82009203,2.281605145,61.6243973,71.32014258,7.302930413,3.338791155,45.55106867,4.837853981,5.588056986,Bachelor,Noisy
S0007,48.453234,F,0,43.19459867,47.36420944,41.64855328,39.34461834,1.657147373,59.87697955,70.61607008,6.534113899,5.840362515,62.18764946,7.310675702,1.618657891,Master,Quiet
S0008,84.61357612,B,1,87.63968802,89.93558841,83.87890599,81.1591047,4.132645724,81.94717326,88.40418078,6.769044045,4.764930965,56.16694793,5.644325245,3.571353785,Bachelor,Quiet
S0009,66.45190861,C,1,73.06132565,72.71049709,74.6571982,70.78072151,1.489991448,71.63103495,61.15312603,6.949089078,5.055813019,85.32938578,4.391156813,6.297339161,Master,Moderate
S0010,74.20950958,C,1,78.94399178,70.63918711,85.64624401,79.85112488,3.539626637,69.68530294,84.28858338,7.848448592,1.164127494,111.2498443,4.299534914,5.465957551,Master,Quiet
S0011,42.71595356,F,0,41.13214719,43.28023828,31.75628484,44.10729452,1.495384107,57.22535835,59.0690305,6.841872221,3.339297313,116.6062388,4.693340193,6.895807109,Bachelor,Quiet
S0012,76.54755725,C,1,93.34504187,94.3834803,93.92017226,90.5579266,1.28214255,87.63941819,71.92414504,6.332073845,4.233105668,88.82426573,4.428202083,6.072927193,Master,Quiet
S0013,97.92513076,A,1,85.78434524,87.14223943,84.98368127,83.71935613,4.637718015,76.15128739,93.54520719,6.330464147,5.150163418,105.4343281,8.563348693,1,Master,Moderate
S0014,56.73183819,D,1,51.67865109,45.29490821,55.03535147,47.04515954,1.760515065,65.91773673,71.76323458,7.783154268,1.246368268,77.26819802,6.913397214,3.076397186,High School,Quiet
S0015,55.26931855,D,1,50.0003732,44.59509049,51.06635634,49.84317734,4.285000618,74.50152872,93.8973566,6.263300191,5.262194428,48.74942522,6.057352548,4.006030845,Bachelor,Quiet
S0016,58.3838348,D,1,50.08724804,55.35301231,46.32740138,45.84510487,3.178523484,70.1589068,76.86256459,7.034567936,3.742004684,77.22195709,6.510213461,2.761396226,Bachelor,Quiet
S0017,53.4724835,D,1,56.73332336,56.53554759,55.13805368,59.59896243,1.311426078,76.58436923,63.08448724,7.623604111,1.986569853,79.95743413,9.573680413,1,High School,Noisy
S0018,81.7382446,B,1,68.86160374,72.26910723,64.88147446,59.93227128,4.821792766,76.38644125,102.1379416,7.640706891,2.586276082,96.82118078,9.464510876,1.236879017,Bachelor,Moderate
S0019,61.01061845,D,1,63.75697603,63.89856791,69.13701172,61.95882766,1.987844668,77.71603713,68.93714,7.918503157,2.409647759,49.78946907,8.294058881,2.551214416,High School,Noisy
S0020,84.09498426,B,1,56.01760271,56.16638341,56.12416095,57.52313941,4.438581381,64.3889777,100.3513785,6.942715158,3.654295171,63.14793439,9.308094265,1.295687205,Bachelor,Moderate
S0021,63.3945948,D,1,73.65190921,78.34332824,83.15786264,74.57108179,1.675240023,73.60425327,71.8599772,6.968583198,1.2584284,62.76247223,5.917888166,5.597429929,Bachelor,Moderate
S0022,74.75526749,C,1,47.67216234,45.09193869,47.36885827,61.13733066,4.415771529,50.14038014,98.75228956,7.289643714,1.792680792,116.3495636,6.286655956,3.171570808,Bachelor,Noisy
S0023,57.29205713,D,1,56.06795567,56.54855955,52.52592183,57.81695579,1.052915252,73.9647052,58.23086865,6.502991719,5.063465217,69.95504643,7.682273091,3.991997675,Bachelor,Moderate
S0024,66.16728228,C,1,60.14990138,57.83852494,52.58132942,55.1296284,3.047121826,77.77657059,75.07200602,6.583209636,1.663019954,97.95845706,7.741755684,1.357323198,High School,Moderate
S0025,77.10018688,C,1,65.08384913,62.91136799,56.06815075,64.6065279,4.077770318,69.77603834,87.70976515,8.044237856,2.166981347,97.57302432,6.890199028,2.097115409,High School,Noisy
S0026,84.88824083,B,1,83.18467788,81.63881726,75.26399816,74.30344621,4.73918207,80.32258041,98.3730254,7.091133048,3.266853028,53.89897663,6.403947091,1.836094027,Bachelor,Quiet
S0027,65.141653,C,1,50.98205802,52.09272688,52.31769127,50.57905927,4.636808545,61.72171844,99.09701902,7.114995085,3.585604441,81.46827204,9.91708187,1,Master,Moderate
S0028,80.09388435,B,1,68.28289411,65.889151,70.82651923,64.11761383,4.278499478,76.05471481,81.92713776,7.237347512,4.818052398,110.4872604,8.926741757,1,High School,Noisy
S0029,84.42859398,B,1,72.58280129,78.86158192,64.67684778,77.15975267,4.552765399,81.91606337,95.48708798,6.713929945,3.236662133,72.76779475,6.609881187,3.916056093,Bachelor,Moderate
S0030,55.6521466,D,1,42.5547727,38.08173619,47.02996427,39.80707133,1.796878743,52.56352648,68.75923356,6.802224034,4.949323105,115.0605757,8.363754863,1.880136078,High School,Noisy
S0031,72.65991025,C,1,73.41496685,72.48060863,70.9996616,72.83113728,2.136737183,78.75467608,69.97965055,6.717548478,4.091731535,49.30124064,5.61737016,3.189656469,Master,Quiet
